movie_trailer,video_id,video_title,channel_name,channel_id,comment_count,view_count,like_count,date_published
Birth of the Dragon Official Trailer,soLlxteBbNA,Birth of the Dragon Official Trailer #1 (2017) Bruce Lee Biopic Movie HD,Zero Media,UCuuU2L90sqhQahV1IkhCPaQ,1639,2674412,12023,2017-07-13T19:18:48.000Z
The Hitmans Bodyguard Official Trailer,F4Afusxc2SM,"The Hitman's Bodyguard Red Band Trailer #1 (2017) Ryan Reynolds, Samuel L. Jackson Action Movie HD",Zero Media,UCuuU2L90sqhQahV1IkhCPaQ,4320,12188740,84369,2017-04-13T01:05:38.000Z
Logan Lucky Official Trailer,aPzvKH8AVf0,LOGAN LUCKY | Official HD Trailer,Bleecker Street,UCafnP6JPjVq8AahYaThUelg,2173,10938801,28104,2017-05-28T21:44:03.000Z
Patti Cake$ Official Trailer,L-591Dqa48g,PATTI CAKE$ | Official Trailer | FOX Searchlight,FoxSearchlight,UCor9rW6PgxSQ9vUPWQdnaYQ,719,5955884,5459,2017-05-17T16:45:01.000Z
The Nut Job 2: Nutty by Nature Official Trailer,e5qIZ89hj_A,The Nut Job 2: Nutty by Nature Official Trailer #3 (2017) Will Arnett Animated Movie HD,Zero Media,UCuuU2L90sqhQahV1IkhCPaQ,1002,3427996,14753,2017-05-18T16:35:56.000Z
Annabelle: Creation Official Trailer,KisPhy7T__Q,ANNABELLE: CREATION - Official Trailer,Warner Bros. Pictures,UCjmJDM5pRKbUlVIzDYYWb6g,6345,18253759,68855,2017-04-02T00:04:44.000Z
Columbus Official Trailer,r3dcnV6Z9Zs,Columbus Trailer #1 (2017) | Movieclips Indie,Movieclips Indie,UCLyYEq4ODlw3OD9qhGqwimw,442,906979,5847,2017-06-27T17:36:55.000Z
Kidnap Official Trailer,cdy8VIOzHEU,Kidnap (কিডন্যাপ) | Official Trailer | Dev | Rukmini Maitra | Raja Chanda | Jeet Gannguli,Surinder Films,UC_IXqII-SVm7QNRwreq32dg,3662,1361514,29805,2019-05-19T05:25:13.000Z
The Dark Tower Official Trailer,GjwfqXTebIY,THE DARK TOWER - Official Trailer (HD),Sony Pictures Entertainment,UCz97F7dMxBNOfGYu3rx8aCw,19314,27107928,128695,2017-05-03T13:19:17.000Z
The Emoji Movie Official Trailer,r8pJt4dK_s4,THE EMOJI MOVIE - Official Trailer (HD),Sony Pictures Entertainment,UCz97F7dMxBNOfGYu3rx8aCw,33991,16661692,37791,2017-05-16T13:30:01.000Z
Atomic Blonde Official Trailer,aieQrj9Yy8s,Atomic Blonde Red Band Trailer #1 (2017) Charlize Theron Action Movie HD,Zero Media,UCuuU2L90sqhQahV1IkhCPaQ,785,1360322,5380,2017-03-10T16:30:53.000Z
An Inconvenient Sequel Official Trailer,huX1bmfdkyA,An Inconvenient Sequel: Truth To Power (2017) - Official Trailer - Paramount Pictures,Paramount Pictures,UCF9imwPMSGz4Vq1NiTWCC7g,3581,2873718,16421,2017-03-28T22:56:04.000Z
Dunkirk Official Trailer,T7O7BtBnsG4,DUNKIRK - OFFICIAL MAIN TRAILER [HD],Warner Bros. Pictures,UCjmJDM5pRKbUlVIzDYYWb6g,6737,9312206,82802,2017-05-05T15:57:22.000Z
Girls Trip Official Trailer,7jE61BzKmgQ,Girls Trip - Official Trailer #2 [HD],Universal Pictures,UCq0OueAsdxH6b8nyAspwViw,994,5803435,13878,2017-05-10T15:00:14.000Z
Valerian and the City of a Thousand Planets Official Trailer,NNrK7xVG3PM,Valerian and the City of a Thousand Planets Official Trailer - Teaser (2017) - Movie,Movieclips Trailers,UCi8e0iOVk1fEOogdfu4YgfA,6282,8727865,51295,2016-11-10T15:17:09.000Z
Wish Upon Official Trailer,VZjBpt5mCCA,Wish Upon Trailer #1 (2017) | Movieclips Trailers,Movieclips Trailers,UCi8e0iOVk1fEOogdfu4YgfA,1490,3038311,14390,2017-02-09T20:16:15.000Z
War for the Planet of the Apes Official Trailer,JDcAlo8i2y8,War for the Planet of the Apes | Official Trailer [HD] | 20th Century FOX,Planet of the Apes,UCZUWIUgQIRgDuv0Q2W0y-qA,2375,5867104,31525,2017-03-30T18:14:53.000Z
A Ghost Story Official Trailer,0Vb0F_CN83E,"A GHOST STORY Official Trailer (2017) Casey Affleck, Romance Fantasy Movie HD",ONE Media,UCzcRQ3vRNr6fJ1A9rqFn7QA,278,716046,1957,2017-04-02T17:00:01.000Z
Spider-Man: Homecoming Official Trailer,rk-dF1lIbIg,SPIDER-MAN: HOMECOMING - Official Trailer (HD),Sony Pictures Entertainment,UCz97F7dMxBNOfGYu3rx8aCw,2587,9174481,41111,2016-12-10T04:55:39.000Z
Despicable Me 3 Official Trailer,6DBi41reeF0,Despicable Me 3 - Official Trailer - In Theaters Summer 2017 (HD),Illumination,UCq7OHvWO6Z3u-LztFdrcU-g,12432,36380728,118369,2016-12-14T16:00:04.000Z
The House Official Trailer,bp1-if1rJiM,The House - Official Trailer [HD],Warner Bros. Pictures,UCjmJDM5pRKbUlVIzDYYWb6g,241,3811678,3203,2017-02-16T17:00:30.000Z
Baby Driver Official Trailer,zTvJJnoWIPk,BABY DRIVER - Official Trailer (HD),Sony Pictures Entertainment,UCz97F7dMxBNOfGYu3rx8aCw,364,2258940,7122,2017-03-29T23:41:01.000Z
The Big Sick Official Trailer,jcD0Daqc3Yw,The Big Sick Trailer #1 (2017) | Movieclips Trailers,Movieclips Trailers,UCi8e0iOVk1fEOogdfu4YgfA,1103,4065222,16175,2017-05-02T17:50:24.000Z
Transformers: The Last Knight Official Trailer,AntcyqJ6brc,Transformers: The Last Knight Official Trailer 1 (2017) - Michael Bay Movie,Movieclips Trailers,UCi8e0iOVk1fEOogdfu4YgfA,29663,19452987,125533,2016-12-06T03:10:32.000Z
Arrowhead Official Trailer,UyqJF7WkC-g,Arrowhead - Official Trailer (2015),Odin's Eye Entertainment,UC1owdmlfdVhNp4Z1qtiGlGw,106,1048894,430,2015-08-24T00:14:22.000Z
Cars 3 Official Trailer,2LeOH9AGJQM,Cars 3 - Official US Trailer,Pixar,UC_IRYSp4auq7hKLvziWVH6w,13368,22444963,141448,2017-04-26T16:00:00.000Z
Rough Night Official Trailer,oIB4jNYeRY4,ROUGH NIGHT - Official Restricted Trailer (HD),Sony Pictures Entertainment,UCz97F7dMxBNOfGYu3rx8aCw,4390,5558490,25600,2017-03-08T19:00:05.000Z
All Eyez on Me Official Trailer,njnwYSybwko,All Eyez on Me Trailer #1 (2017) | Movieclips Trailers,Movieclips Trailers,UCi8e0iOVk1fEOogdfu4YgfA,3297,3750603,30213,2017-04-06T17:38:43.000Z
The Mummy Official Trailer,IjHgzkQM2Sg,The Mummy - Official Trailer (HD),Universal Pictures,UCq0OueAsdxH6b8nyAspwViw,23835,47732876,260295,2016-12-05T02:06:40.000Z
It Comes at Night Official Trailer,6YOYHCBQn9g,It Comes At Night | Official Trailer HD | A24,A24,UCuPivVjnfNo4mb3Oog_frZg,3471,15002285,24982,2017-05-01T13:00:00.000Z
Churchill Official Trailer,sVOzMZ4IrMA,CHURCHILL Trailer (2017),Film Trailer Zone,UCPPPrnT5080hPMxK1N4QSjA,2225,1498543,6134,2017-03-21T14:24:32.000Z
Captain Underpants: The First Epic Movie Official Trailer,VDm_2m-Hg6c,CAPTAIN UNDERPANTS: The First Epic Movie Trailer (2017),KinoCheck International,UCLRlryMfL8ffxzrtqv0_k_w,18060,12350616,182617,2017-03-22T12:24:00.000Z
Wonder Woman Official Trailer,1Q8fG0TtVAY,WONDER WOMAN - Official Trailer [HD],Warner Bros. Pictures,UCjmJDM5pRKbUlVIzDYYWb6g,26274,27362036,231645,2016-11-03T16:00:54.000Z
Pirates of the Caribbean: Dead Men Tell No Tales Official Trailer,Hgeu5rhoxxY,Pirates of the Caribbean: Dead Men Tell No Tales - Official Trailer,Walt Disney Studios,UCuaFvcY4MhZY3U43mMt1dYQ,1904,6167691,25192,2017-03-03T00:01:37.000Z
Baywatch Official Trailer,eyKOgnaf0BU,Baywatch (2017) - Official Trailer - Paramount Pictures,Paramount Pictures,UCF9imwPMSGz4Vq1NiTWCC7g,3589,15154650,50683,2017-03-22T13:05:28.000Z
"Everything, Everything Official Trailer",42KNwQ6u42U,"Everything, Everything Trailer #1 (2017) | Movieclips Trailers",Movieclips Trailers,UCi8e0iOVk1fEOogdfu4YgfA,6267,8815854,103890,2017-02-14T18:00:35.000Z
Alien: Covenant Official Trailer,svnAD0TApb8,Alien: Covenant | Official Trailer [HD] | 20th Century FOX,Alien Anthology,UC6u9M-seC6aVdOqvuo_HycQ,18500,25421970,154700,2017-03-01T01:24:52.000Z
Diary of a Wimpy Kid: The Long Haul Official Trailer,r7PLDbPPL7w,Diary of a Wimpy Kid: The Long Haul | Official Trailer [HD] | Fox Family Entertainment,Fox Family Entertainment,UCNDaFXLGF7W6ADJ7eUwIhgg,8194,2065425,5474,2017-03-16T13:00:10.000Z
Snatched Official Trailer,QcyeYFXdHNQ,Snatched | Official Trailer [HD] | 20th Century FOX,20th Century Fox,UC2-BeLxzUBSs0uSrmzWhJuQ,1055,4822706,4855,2017-02-07T14:00:19.000Z
King Arthur: Legend of the Sword Official Trailer,jIM4-HLtUM0,King Arthur: Legend of the Sword - Official Trailer [HD],Warner Bros. Pictures,UCjmJDM5pRKbUlVIzDYYWb6g,3325,9088513,30460,2017-02-20T18:00:03.000Z
The Wall Official Trailer,MyCuUr2_hmA,"The Wall Official Trailer #1 (2017) John Cena, Aaron Taylor-Johnson Drama Movie HD",Zero Media,UCuuU2L90sqhQahV1IkhCPaQ,3684,9580458,33582,2016-12-08T18:26:14.000Z
Lowriders Official Trailer,-CJj_ZZPZng,Lowriders Trailer #1 (2017) | Movieclips Trailers,Movieclips Trailers,UCi8e0iOVk1fEOogdfu4YgfA,1209,1650194,9392,2017-01-26T19:50:39.000Z
Chi dn zhunji Official Trailer,w0dMz8RBG7g,Wanting 曲婉婷 - 我的歌声里 (You Exist In My Song) [Trad. Chinese] [Official Music Video],NettwerkMusic,UCmVE1oDNf5IjExOGfdbL3SA,16849,152354293,326440,2012-08-23T18:48:28.000Z
Guardians of the Galaxy Vol 2 Official Trailer,pr7tDrwQ3t8,Guardians of the Galaxy Vol. 2 Official Trailer 1 (2017) - Chris Pratt Movie,Movieclips Trailers,UCi8e0iOVk1fEOogdfu4YgfA,3886,8544698,67633,2016-12-04T01:18:32.000Z
